id,network_transaction_id,region
02cf1f08-b87c-49fb-bb33-c6fe2724517c,304099223804017,hk
46162b44-3e4b-4a7b-9881-cc3cb14aba28,304099109759360,hk
80a79f8a-d631-4209-b2e1-4c8aedf3f85a,304099194020268,hk
aebadf07-1d4a-44a1-9b13-07887ade5224,304099176599097,hk
f0baf950-2736-4f67-907b-ff1a6889d1b7,304099211195627,hk
8f726d21-198f-49c7-8eb3-66e216fc84f9,304099121916646,hk
c0471d7e-7f91-4396-ade4-8072ed682520,304099091508949,hk
fc15ddb0-2168-4ae1-b61e-24f8640be947,304099085410982,hk
0374c252-ba6e-484b-ad92-82f76a8b2c37,304099240762199,hk
c75ba45e-edcd-40ef-a480-fd32cb7d7be8,304099079324295,hk
e6345725-fd7f-4f11-a651-bdab942028b7,304099115836987,hk
01c8287b-d147-42b0-aa0b-b1cfbefe73a9,304099146229420,hk
a3f7e07e-dc27-4f86-a69e-589372f7112e,304099183783538,hk
22845642-3ab9-42e7-8df7-55e656d98e24,304099097599426,hk
8db86f5f-2fc8-47a8-ad8a-6d5a04ce848b,304099259733342,hk
fececfd7-2657-4ad2-8640-3180acb3c505,304099103670345,hk
20d1133f-2af0-48f9-b87f-a6e628e0772e,304099152292369,hk
77556d28-af67-4264-8bcd-6169ffd666bc,304099202949753,hk
467c4467-d3b6-4469-95e3-7a3e3a0a323c,304080196244178,hk
f64ea873-540f-4285-911c-d3edc773d8cf,464080030509483,hk
7f835e78-4342-4a3b-90e6-561fdc5baa7e,304079839469219,hk
e5d86993-04a1-412c-9a88-9d43ec35202d,304080180740593,hk
171705d0-4864-4aa7-94cf-487796605b4f,384080268242571,hk
b7bec414-df25-4fdb-8c51-310d77fdacf3,584080125654407,hk
80b1225b-450d-4f23-8613-732f72dcaaf3,384080488142511,hk
becc029d-7d31-43f7-b927-70b5da7f1881,464080157887946,hk
6a7945ac-de48-4adf-babf-11b7b2342990,384080269836216,hk
00a823c2-010f-4db9-a3d7-648c23d7ecd5,584080487743979,hk
859482a8-d246-4630-bc94-b164aa8c642c,584080192915208,hk
1a9546c3-57ed-4e50-a43d-1455f829d15c,464080539893422,hk
3a4bec51-551a-4b63-af83-fc2d87e90b3f,384080174643659,hk
bd91c0be-00dc-42b2-b7e0-e55d4a459525,384080054795127,hk
53315109-b38b-4ba2-82af-3c146047c5ba,384080146941900,hk
103fb3c1-109f-4fe2-98ab-88a59489aa72,464080533896619,hk
f9625661-44e9-473f-8687-4361e0487fe8,384080085440462,hk
f4a1150c-d897-4325-ab83-fc9928766894,584080459346987,hk
a9f550b4-3029-4583-ae99-25e5b337f7ab,304080465913568,hk
063e19e4-1df7-4665-b861-f42ceae359d6,304080133216323,hk
5beb9b2d-6428-43c2-93b7-ac7cac9c47c6,464080493070485,hk
d02f1aad-5695-4576-ba78-1301efc8b0b2,464080061006573,hk
915374ce-becb-4179-ac97-beae31463729,304080018973051,hk
f2136ef9-e1ea-4e6a-af4a-9d29c5156cd8,304080186823888,hk
431f7a74-9f32-4714-ba50-3af7f5246d5c,584080158073293,hk
